active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
1,128,0,"[128, 512, 512]",1024,141.12,141.12,0.14,-3392,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,1,"[128, 512, 512]",1024,141.12,158.96,0.16,-3392,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,2,"[128, 512, 512]",1024,158.96,613.29,0.6,-3392,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,3,"[128, 512, 512]",1024,613.29,875.62,0.86,-3392,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,0,"[128, 512, 512]",512,875.62,71.12,0.07,-1344,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,1,"[128, 512, 512]",512,71.12,88.96,0.09,-1344,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,2,"[128, 512, 512]",512,88.96,351.29,0.34,-1344,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,3,"[128, 512, 512]",512,351.29,613.62,0.6,-1344,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,0,"[128, 512, 512]",256,613.62,36.12,0.04,-320,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,1,"[128, 512, 512]",256,36.12,53.96,0.05,-320,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,2,"[128, 512, 512]",256,53.96,220.29,0.22,-320,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,3,"[128, 512, 512]",256,220.29,482.62,0.47,-320,0,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,128,0,"[128, 512, 512]",128,482.62,18.62,0.02,130.05,0.3,240,320,4,280.667,208.556,1924.333,59.222,26.444,9.667,2499.222,"[21, 108, 1, 115, 13]","[21, 108, 1, 115, 13]"
1,128,1,"[128, 512, 512]",128,18.62,36.46,0.04,130.05,0.32,240,320,4,281.0,210.0,3813.111,61.444,27.556,10.778,4393.111,"[26, 1, 45, 109, 45]","[26, 1, 45, 109, 45]"
1,128,2,"[128, 512, 512]",128,36.46,154.79,0.15,130.05,0.43,240,320,4,279.889,209.556,16334.778,60.222,26.111,10.0,16910.556,"[42, 38, 108, 42, 42]","[42, 38, 108, 42, 42]"
1,128,3,"[128, 512, 512]",128,154.79,417.12,0.41,130.05,0.69,240,320,4,280.0,210.556,44507.333,60.556,26.111,10.222,45084.556,"[97, 97, 97, 97, 97]","[97, 97, 97, 97, 97]"
1,128,0,"[128, 512, 512]",64,417.12,9.88,0.01,129.8,0.29,240,320,4,280.111,211.222,1019.889,33.667,14.333,6.0,1559.222,"[17, 60, 11, 17, 11]","[17, 60, 11, 17, 11]"
