active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
2,256,0,"[256, 1024, 1024]",512,2409.12,135.12,0.13,82.55,0.42,240,320,4,548.111,408.778,14326.333,221.444,96.889,33.778,15601.556,"[111, 101, 2, 450, 20]","[111, 101, 2, 450, 20]"
2,256,1,"[256, 1024, 1024]",512,135.12,202.46,0.2,82.55,0.48,240,320,4,547.111,408.444,21520.667,222.556,97.667,32.667,22796.444,"[284, 14, 77, 382, 364]","[284, 14, 77, 382, 364]"
2,256,2,"[256, 1024, 1024]",512,202.46,854.79,0.83,82.55,1.12,240,320,4,547.667,409.111,91760.333,222.0,97.111,32.444,93036.222,"[97, 275, 337, 97, 97]","[97, 275, 337, 97, 97]"
2,256,3,"[256, 1024, 1024]",512,854.79,1891.12,1.85,82.55,2.13,240,320,4,547.333,408.778,203725.889,222.667,96.333,32.333,205001.0,"[352, 294, 248, 106, 106]","[352, 294, 248, 106, 106]"
2,256,0,"[256, 1024, 1024]",256,1891.12,68.12,0.07,81.55,0.35,240,320,4,542.0,408.333,7218.556,112.778,50.111,16.667,8331.778,"[195, 133, 195, 106, 195]","[195, 133, 195, 106, 195]"
2,256,1,"[256, 1024, 1024]",256,68.12,135.46,0.13,81.55,0.42,240,320,4,542.889,409.111,14402.778,112.444,50.889,18.444,15518.111,"[21, 110, 64, 27, 27]","[21, 110, 64, 27, 27]"
2,256,2,"[256, 1024, 1024]",256,135.46,595.79,0.58,81.55,0.87,240,320,4,542.111,408.444,63808.222,115.333,50.333,16.889,64924.444,"[181, 147, 192, 147, 94]","[181, 147, 192, 147, 94]"
2,256,3,"[256, 1024, 1024]",256,595.79,1632.12,1.59,81.55,1.88,240,320,4,542.0,408.111,175831.0,113.889,49.889,16.889,176944.889,"[64, 26, 26, 26, 26]","[64, 26, 26, 26, 26]"
2,256,0,"[256, 1024, 1024]",128,1632.12,34.62,0.03,81.05,0.32,240,320,4,541.333,407.667,3667.444,61.333,26.444,10.667,4704.222,"[1, 11, 102, 1, 120]","[1, 11, 102, 1, 120]"
2,256,1,"[256, 1024, 1024]",128,34.62,101.96,0.1,81.05,0.39,240,320,4,542.0,408.333,10848.111,60.333,27.778,9.222,11886.556,"[61, 54, 61, 52, 61]","[61, 54, 61, 52, 61]"
2,256,2,"[256, 1024, 1024]",128,101.96,466.29,0.46,81.05,0.74,240,320,4,542.889,409.333,49817.333,62.778,27.333,10.222,50859.667,"[23, 65, 23, 65, 31]","[23, 65, 23, 65, 31]"
2,256,3,"[256, 1024, 1024]",128,466.29,1502.62,1.47,81.05,1.75,240,320,4,541.333,407.889,161834.556,61.556,26.333,9.333,162871.667,"[2, 51, 125, 29, 2]","[2, 51, 125, 29, 2]"
2,256,0,"[256, 1024, 1024]",64,1502.62,17.88,0.02,80.8,0.3,240,320,4,542.222,408.222,1889.778,33.111,14.333,5.667,2887.667,"[53, 31, 53, 21, 15]","[53, 31, 53, 21, 15]"
2,256,1,"[256, 1024, 1024]",64,17.88,85.21,0.08,80.8,0.37,240,320,4,542.0,408.111,9070.556,33.111,14.778,5.333,10068.556,"[33, 10, 38, 57, 4]","[33, 10, 38, 57, 4]"
2,256,2,"[256, 1024, 1024]",64,85.21,401.54,0.39,80.8,0.68,240,320,4,542.111,408.333,42820.111,33.778,14.333,5.222,43818.667,"[52, 52, 61, 61, 24]","[52, 52, 61, 61, 24]"
2,256,3,"[256, 1024, 1024]",64,401.54,1437.87,1.4,80.8,1.69,240,320,4,542.889,408.778,154837.111,35.444,15.333,6.556,155839.556,"[31, 63, 31, 28, 46]","[31, 63, 31, 28, 46]"
4,512,0,"[512, 2048, 2048]",1024,1437.87,525.12,0.51,86.55,0.81,240,320,4,1090.111,808.0,56351.667,425.333,192.333,63.0,58867.444,"[522, 744, 815, 580, 603]","[522, 744, 815, 580, 603]"
4,512,1,"[512, 2048, 2048]",1024,525.12,787.46,0.77,86.55,1.06,240,320,4,1090.333,808.667,84596.111,435.0,193.222,63.333,87123.333,"[735, 462, 469, 626, 821]","[735, 462, 469, 626, 821]"
4,512,2,"[512, 2048, 2048]",1024,787.46,3371.79,3.29,86.55,3.59,240,320,4,1090.111,808.556,364243.667,440.667,192.333,63.333,366775.333,"[844, 938, 844, 938, 46]","[844, 938, 844, 938, 46]"
