timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
23-10-25--16:23,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,0,32,4 16 16   ,1024,4,0.001,200,200,42.703,0.198,180.000,128.000,0.500,nucleo-f446ze-o3                        ,6.344,6.000,7.000,0.475,28.680,29.000,29.000,0.474,32.116,32.000,33.000,0.324,13981.100,13978.000,13993.000,6.708,63.373,63.000,64.000,0.484,75.933,76.000,76.000,0.357,57.539,58.000,58.000,0.510,14155.420,14152.000,14168.000,6.787,14070.745,14067.000,14083.000,6.728,1.789,0.207,1.772796,0.203426,0.202702,0.203035,"[542, 542, 539, 543, 541]","[539, 540, 539, 539, 539]","([539, 540, 539, 539, 539],)","[539, 540, 539, 539, 539]"
23-10-25--16:38,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,32,4 16 16   ,1024,4,0.001,200,200,42.703,0.077,180.000,128.000,0.500,nucleo-f446ze-o3                        ,6.338,6.000,7.000,0.473,28.669,29.000,29.000,0.485,32.207,32.000,33.000,0.583,980.279,979.000,983.000,1.817,64.283,64.000,65.000,0.963,74.680,75.000,75.000,0.520,57.706,58.000,59.000,0.860,1154.249,1154.000,1159.000,2.491,1070.192,1069.000,1074.000,2.149,1.789,0.234,1.772796,0.237986,0.213095,0.215253,"[542, 542, 539, 543, 541]","[539, 540, 540, 540, 540]","([539, 539, 540, 539, 539],)","[539, 539, 540, 539, 539]"
23-10-25--16:53,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,2,32,4 16 16   ,1024,4,0.001,200,200,42.703,0.090,180.000,128.000,0.500,nucleo-f446ze-o3                        ,5.327,5.000,6.000,0.469,27.675,28.000,28.000,0.484,31.138,31.000,32.000,0.521,2276.956,2277.000,2282.000,3.221,62.935,63.000,64.000,0.896,73.685,74.000,74.000,0.558,56.563,57.000,57.000,0.516,2446.570,2446.000,2451.000,3.425,2364.648,2364.000,2370.000,3.343,1.789,0.287,1.772796,0.294767,0.286167,0.286295,"[542, 542, 539, 543, 541]","[541, 541, 541, 540, 541]","([541, 540, 541, 539, 541],)","[541, 540, 541, 539, 541]"
23-10-25--17:07,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,3,32,4 16 16   ,1024,4,0.001,200,200,42.703,0.091,180.000,128.000,0.500,nucleo-f446ze-o3                        ,6.354,6.000,7.000,0.478,28.673,29.000,29.000,0.484,32.138,32.000,33.000,0.518,2321.345,2321.000,2329.000,3.674,64.064,64.000,65.000,1.027,75.000,75.000,79.000,1.176,57.550,58.000,58.000,0.517,2495.421,2495.000,2503.000,4.072,2411.017,2410.000,2419.000,3.762,1.789,0.301,1.772796,0.299700,0.292201,0.299422,"[542, 542, 539, 543, 541]","[541, 539, 540, 540, 541]","([541, 539, 540, 539, 541],)","[541, 539, 540, 539, 541]"
23-10-25--17:22,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,8,16 64 64  ,1024,4,0.001,200,200,42.703,0.091,180.000,128.000,0.500,nucleo-f446ze-o3                        ,6.346,6.000,7.000,0.476,28.693,29.000,29.000,0.479,32.141,32.000,33.000,0.515,2420.823,2420.000,2427.000,2.672,65.807,65.000,68.000,1.843,75.183,75.000,76.000,0.762,57.565,58.000,58.000,0.514,2596.854,2597.000,2603.000,4.239,2510.531,2510.000,2517.000,2.780,1.789,0.299,1.772796,0.297875,0.292871,0.293334,"[542, 542, 539, 543, 541]","[539, 542, 542, 542, 539]","([539, 542, 541, 541, 539],)","[539, 542, 541, 541, 539]"
23-10-25--17:36,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,2,8,16 64 64  ,1024,4,0.001,200,200,42.703,0.141,180.000,128.000,0.500,nucleo-f446ze-o3                        ,6.333,6.000,7.000,0.471,28.684,29.000,29.000,0.475,32.141,32.000,33.000,0.513,7615.778,7613.000,7635.000,10.005,63.387,63.000,64.000,0.487,75.956,76.000,76.000,0.549,57.595,58.000,58.000,0.551,7790.144,7787.000,7809.000,10.112,7705.519,7703.000,7724.000,10.051,1.789,0.321,1.772796,0.335395,0.318514,0.320587,"[542, 542, 539, 543, 541]","[541, 541, 541, 541, 541]","([541, 541, 541, 541, 541],)","[541, 541, 541, 541, 541]"
23-10-25--17:51,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,3,8,16 64 64  ,1024,4,0.001,200,200,42.703,0.147,180.000,128.000,0.500,nucleo-f446ze-o3                        ,5.341,5.000,6.000,0.474,27.680,28.000,28.000,0.486,31.143,31.000,32.000,0.524,8076.010,8073.000,8095.000,9.881,62.390,62.000,63.000,0.488,74.959,75.000,75.000,0.541,56.581,57.000,57.000,0.545,8246.384,8243.000,8266.000,9.954,8163.738,8161.000,8182.000,9.898,1.789,0.315,1.772796,0.328271,0.320639,0.320788,"[542, 542, 539, 543, 541]","[541, 541, 541, 541, 541]","([541, 541, 541, 541, 541],)","[541, 541, 541, 541, 541]"
23-10-25--18:05,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,1,128 512 512,1024,4,0.001,200,200,42.703,0.217,180.000,128.000,0.500,nucleo-f446ze-o3                        ,6.338,6.000,7.000,0.473,28.668,29.000,29.000,0.485,32.118,32.000,33.000,0.325,15747.703,15744.000,15764.000,8.576,63.397,63.000,64.000,0.489,75.926,76.000,76.000,0.354,57.535,58.000,58.000,0.504,15922.013,15919.000,15938.000,8.617,15837.337,15834.000,15853.000,8.582,1.789,0.317,1.772796,0.312926,0.301184,0.300829,"[542, 542, 539, 543, 541]","[541, 540, 541, 542, 541]","([540, 539, 541, 541, 541],)","[540, 539, 541, 541, 541]"
23-10-25--18:06,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,2,0,128,2,1,128 512 512,1024,4,0.001,200,200,0.000,-177304.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.315,1.772796,0.310901,0.299740,0.000000,"[542, 542, 539, 543, 541]","[541, 540, 541, 541, 542]","([541, 540, 540, 541, 542],)","[0, 0, 0, 0, 0]"
23-10-25--18:07,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,2,0,128,3,1,128 512 512,1024,4,0.001,200,200,0.000,-454248.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.311,1.772796,0.300614,0.300687,0.000000,"[542, 542, 539, 543, 541]","[540, 540, 541, 541, 541]","([540, 540, 541, 541, 541],)","[0, 0, 0, 0, 0]"
