active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
2,256,2,"[256, 1024, 1024]",512,202.46,854.79,0.83,50.55,1.12,240,320,4,547.778,409.0,91760.333,222.0,97.111,32.444,93036.222,"[97, 275, 337, 97, 97]","[97, 275, 337, 97, 97]"
2,256,3,"[256, 1024, 1024]",512,854.79,1891.12,1.85,50.55,2.13,240,320,4,547.222,408.889,203726.111,223.0,96.222,32.667,205001.444,"[352, 294, 248, 106, 106]","[352, 294, 248, 106, 106]"
2,256,0,"[256, 1024, 1024]",256,1891.12,68.12,0.07,49.55,0.35,240,320,4,542.0,408.222,7218.556,112.667,50.111,16.889,8331.556,"[195, 133, 195, 106, 195]","[195, 133, 195, 106, 195]"
2,256,1,"[256, 1024, 1024]",256,68.12,135.46,0.13,49.55,0.42,240,320,4,541.889,408.111,14401.889,111.333,50.111,17.222,15513.333,"[21, 110, 64, 27, 27]","[21, 110, 64, 27, 27]"
2,256,2,"[256, 1024, 1024]",256,135.46,595.79,0.58,49.55,0.87,240,320,4,541.889,408.333,63808.333,115.333,50.333,16.889,64924.222,"[181, 147, 192, 147, 94]","[181, 147, 192, 147, 94]"
2,256,3,"[256, 1024, 1024]",256,595.79,1632.12,1.59,49.55,1.88,240,320,4,542.222,408.333,175830.778,113.889,49.889,16.778,176945.111,"[64, 26, 26, 26, 26]","[64, 26, 26, 26, 26]"
2,256,0,"[256, 1024, 1024]",128,1632.12,34.62,0.03,49.05,0.32,240,320,4,541.667,407.667,3667.556,61.333,26.222,10.667,4704.444,"[1, 11, 102, 1, 120]","[1, 11, 102, 1, 120]"
2,256,1,"[256, 1024, 1024]",128,34.62,101.96,0.1,49.05,0.39,240,320,4,542.111,408.333,10848.111,60.889,27.889,9.556,11887.333,"[61, 54, 61, 52, 61]","[61, 54, 61, 52, 61]"
2,256,2,"[256, 1024, 1024]",128,101.96,466.29,0.46,49.05,0.74,240,320,4,542.222,408.444,49816.444,61.556,26.333,9.444,50855.0,"[23, 65, 23, 65, 31]","[23, 65, 23, 65, 31]"
2,256,3,"[256, 1024, 1024]",128,466.29,1502.62,1.47,49.05,1.75,240,320,4,541.556,407.889,161834.778,61.556,26.111,9.222,162871.889,"[2, 51, 125, 29, 2]","[2, 51, 125, 29, 2]"
2,256,0,"[256, 1024, 1024]",64,1502.62,17.88,0.02,48.8,0.3,240,320,4,542.111,408.222,1889.667,33.111,14.333,5.667,2887.444,"[53, 31, 53, 21, 15]","[53, 31, 53, 21, 15]"
2,256,1,"[256, 1024, 1024]",64,17.88,85.21,0.08,48.8,0.37,240,320,4,541.889,407.889,9070.444,33.0,15.111,5.889,10068.333,"[33, 10, 38, 57, 4]","[33, 10, 38, 57, 4]"
2,256,2,"[256, 1024, 1024]",64,85.21,401.54,0.39,48.8,0.68,240,320,4,543.0,409.222,42820.889,34.778,15.444,6.889,43823.333,"[52, 52, 61, 61, 24]","[52, 52, 61, 61, 24]"
2,256,3,"[256, 1024, 1024]",64,401.54,1437.87,1.4,48.8,1.69,240,320,4,541.889,407.889,154836.0,34.889,14.333,5.667,155835.0,"[31, 63, 31, 28, 46]","[31, 63, 31, 28, 46]"
