timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
24-10-25--07:22,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,0,32,16 64 64  ,1024,4,0.001,200,200,51.500,0.616,133.000,256.000,2.000,pico-o3                                 ,378.209,374.000,395.000,10.190,571.836,569.000,588.000,12.052,904.024,907.000,915.000,8.458,126115.387,126116.000,126179.000,39.266,1035.795,1034.000,1050.000,8.892,523.404,519.000,541.000,10.376,80.732,81.000,89.000,4.688,128624.585,128625.000,128698.050,46.052,127100.097,127101.000,127165.050,40.155,1.789,0.218,1.772796,0.203283,0.203827,0.204001,"[542, 542, 539, 543, 541]","[539, 539, 540, 540, 539]","([539, 540, 539, 540, 539],)","[539, 540, 539, 540, 539]"
24-10-25--07:23,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,1,512,0,32,16 64 64  ,1024,4,0.001,200,200,51.500,0.616,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.218,1.772796,0.203283,0.203827,0.000000,"[542, 542, 539, 543, 541]","[539, 539, 540, 540, 539]","([539, 540, 539, 540, 539],)","[0, 0, 0, 0, 0]"
24-10-25--07:36,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,1,32,16 64 64  ,1024,4,0.001,200,200,51.500,0.140,133.000,256.000,2.000,pico-o3                                 ,375.983,373.000,393.000,9.757,569.023,566.000,585.000,11.531,901.817,904.000,912.000,8.034,7778.812,7780.000,7816.000,24.065,1000.559,1007.000,1037.000,28.178,522.578,521.000,538.000,10.243,79.633,79.000,91.000,4.660,10246.952,10250.000,10308.000,38.975,8760.260,8761.000,8799.000,24.696,1.789,1.366,1.772796,1.374491,1.368508,1.368710,"[542, 542, 539, 543, 541]","[542, 542, 539, 542, 541]","([542, 542, 539, 542, 541],)","[542, 542, 539, 542, 541]"
24-10-25--07:48,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,1,32,16 64 64  ,1024,4,0.001,200,200,51.500,0.140,133.000,256.000,2.000,pico-o3-modelinram                      ,370.796,367.000,387.050,9.642,550.669,547.000,566.000,10.027,892.124,895.000,902.000,8.157,5059.143,5062.000,5071.000,10.174,977.094,984.000,1009.000,27.046,509.237,506.000,524.000,9.425,75.890,76.000,83.000,4.019,7466.884,7471.000,7512.000,30.990,6027.102,6030.000,6045.000,13.395,1.789,1.366,1.772796,1.374491,1.368508,1.368710,"[542, 542, 539, 543, 541]","[542, 542, 539, 542, 541]","([542, 542, 539, 542, 541],)","[542, 542, 539, 542, 541]"
24-10-25--08:01,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,2,32,16 64 64  ,1024,4,0.001,200,200,51.500,0.190,133.000,256.000,2.000,pico-o3                                 ,376.805,373.000,394.000,9.777,569.510,566.000,586.000,11.464,902.158,904.000,912.000,8.062,20117.141,20118.000,20156.000,25.403,984.146,982.000,1026.000,20.200,523.746,520.000,540.000,9.995,79.495,79.000,87.000,4.479,22571.340,22572.000,22635.000,40.846,21098.787,21101.000,21138.050,25.944,1.789,1.674,1.772796,1.659277,1.649176,1.649426,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
24-10-25--08:13,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,2,32,16 64 64  ,1024,4,0.001,200,200,51.500,0.190,133.000,256.000,2.000,pico-o3-modelinram                      ,370.713,367.000,387.000,9.623,551.185,548.000,566.000,9.947,892.093,895.000,902.000,8.264,11992.057,11995.000,12003.000,10.002,961.246,959.000,1006.000,20.517,509.188,506.000,525.000,9.334,75.619,75.000,84.000,4.662,14384.347,14383.000,14429.000,25.039,12959.727,12962.000,12980.000,14.142,1.789,1.674,1.772796,1.659277,1.649176,1.649426,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
24-10-25--08:26,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,3,32,16 64 64  ,1024,4,0.001,200,200,51.500,0.196,133.000,256.000,2.000,pico-o3                                 ,378.255,375.000,395.000,9.904,570.678,567.000,587.000,11.639,903.210,906.000,914.000,8.416,21277.254,21279.000,21312.000,22.782,985.782,983.000,1018.000,17.321,525.715,522.000,542.000,9.926,80.631,80.000,92.000,4.800,23737.794,23738.000,23796.000,35.515,22261.205,22263.000,22296.050,23.638,1.789,1.765,1.772796,1.743768,1.744572,1.744411,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
24-10-25--08:38,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,3,32,16 64 64  ,1024,4,0.001,200,200,51.500,0.196,133.000,256.000,2.000,pico-o3-modelinram                      ,371.649,368.000,389.000,10.545,551.441,548.000,567.000,10.489,893.156,896.000,904.000,8.996,12660.816,12664.000,12673.000,10.707,965.961,963.000,999.000,17.468,510.243,507.000,526.000,9.714,75.517,75.000,83.000,4.613,15060.058,15060.000,15101.000,24.771,13629.437,13631.000,13651.000,14.747,1.789,1.765,1.772796,1.743768,1.744572,1.744411,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
24-10-25--08:50,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,1,8,64 256 256,1024,4,0.001,200,200,51.500,0.212,133.000,256.000,2.000,pico-o3                                 ,377.032,374.000,393.000,9.821,569.736,567.000,586.000,11.580,901.698,904.000,912.000,8.281,25673.299,25674.000,25709.000,23.215,998.096,995.000,1043.000,23.372,523.873,520.000,540.000,10.078,79.684,79.000,87.000,4.463,28142.032,28142.000,28201.000,35.614,26654.678,26656.000,26695.000,25.275,1.789,1.722,1.772796,1.696753,1.698531,1.698531,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
24-10-25--09:03,_seed0_grid1200_M3232_Mbar4_30000_ep200,64,0,0,512,1,8,64 256 256,1024,4,0.001,200,200,51.500,0.212,133.000,256.000,2.000,pico-o3-modelinram                      ,370.927,368.000,387.000,9.663,551.669,548.000,567.000,10.218,892.379,895.000,902.000,8.044,15157.460,15160.000,15168.000,9.665,973.412,970.000,1018.000,22.487,510.992,508.000,526.000,9.773,75.696,75.000,84.000,4.336,17564.417,17563.000,17613.000,27.589,16125.492,16129.000,16140.000,11.880,1.789,1.722,1.772796,1.696753,1.698531,1.698531,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
