timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
23-10-25--16:11,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,0,32,4 16 16   ,1024,4,0.001,200,200,42.895,0.207,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.271,1.000,2.000,0.444,10.116,10.000,11.000,0.327,10.652,11.000,11.000,0.503,1903.701,1901.000,1915.000,5.655,25.391,25.000,26.000,0.509,25.411,25.000,26.000,0.524,13.715,14.000,14.000,0.536,1965.886,1963.000,1978.000,5.875,1928.065,1925.000,1939.000,5.777,1.789,0.207,1.772796,0.203426,0.202702,0.203035,"[542, 542, 539, 543, 541]","[539, 540, 539, 539, 539]","([539, 540, 539, 539, 539],)","[539, 540, 539, 539, 539]"
23-10-25--16:14,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,0,32,4 16 16   ,1024,4,0.001,200,200,42.895,0.208,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.261,1.000,2.000,0.439,10.109,10.000,11.000,0.323,10.640,11.000,11.000,0.504,1903.711,1901.000,1915.000,5.616,25.395,25.000,26.000,0.512,25.424,25.000,26.000,0.532,13.719,14.000,14.000,0.537,1965.890,1963.000,1978.000,5.862,1928.060,1925.000,1939.000,5.729,1.789,0.207,1.772796,0.203426,0.202702,0.203035,"[542, 542, 539, 543, 541]","[539, 540, 539, 539, 539]","([539, 540, 539, 539, 539],)","[539, 540, 539, 539, 539]"
23-10-25--16:19,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,32,4 16 16   ,1024,4,0.001,200,200,42.895,0.087,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.272,1.000,2.000,0.445,10.115,10.000,11.000,0.327,10.625,11.000,11.000,0.494,192.767,193.000,194.000,1.078,25.047,25.000,26.000,0.394,25.252,25.000,26.000,0.640,14.053,14.000,15.000,0.681,254.453,254.000,256.000,1.127,217.446,217.000,220.000,1.551,1.789,0.234,1.772796,0.237986,0.213095,0.215253,"[542, 542, 539, 543, 541]","[539, 540, 540, 540, 540]","([539, 539, 540, 539, 539],)","[539, 539, 540, 539, 539]"
23-10-25--16:24,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,32,4 16 16   ,1024,4,0.001,200,200,42.895,0.088,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.276,1.000,2.000,0.447,10.116,10.000,11.000,0.328,10.627,11.000,11.000,0.487,192.744,193.000,194.000,1.078,25.044,25.000,26.000,0.366,25.248,25.000,26.000,0.654,14.051,14.000,15.000,0.698,254.424,254.000,256.000,1.153,217.419,217.000,220.000,1.545,1.789,0.234,1.772796,0.237986,0.213095,0.215253,"[542, 542, 539, 543, 541]","[539, 540, 540, 540, 540]","([539, 539, 540, 539, 539],)","[539, 539, 540, 539, 539]"
23-10-25--16:29,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,2,32,4 16 16   ,1024,4,0.001,200,200,42.895,0.100,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.266,1.000,2.000,0.442,10.107,10.000,11.000,0.324,10.627,11.000,11.000,0.499,370.748,371.000,373.000,1.409,25.363,25.000,26.000,0.525,25.264,25.000,26.000,0.511,13.661,14.000,14.000,0.486,432.747,433.000,436.000,1.707,395.036,395.000,397.000,1.591,1.789,0.287,1.772796,0.294767,0.286167,0.286295,"[542, 542, 539, 543, 541]","[541, 541, 541, 540, 541]","([541, 540, 541, 539, 541],)","[541, 540, 541, 539, 541]"
23-10-25--16:33,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,2,32,4 16 16   ,1024,4,0.001,200,200,42.895,0.100,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.259,1.000,2.000,0.438,10.122,10.000,11.000,0.334,10.624,11.000,11.000,0.493,370.759,371.000,373.000,1.432,25.375,25.000,26.000,0.525,25.276,25.000,26.000,0.524,13.662,14.000,14.000,0.482,432.786,433.000,436.000,1.716,395.040,395.000,397.000,1.587,1.789,0.287,1.772796,0.294767,0.286167,0.286295,"[542, 542, 539, 543, 541]","[541, 541, 541, 540, 541]","([541, 540, 541, 539, 541],)","[541, 540, 541, 539, 541]"
23-10-25--16:37,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,3,32,4 16 16   ,1024,4,0.001,200,200,42.895,0.101,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.260,1.000,2.000,0.439,10.115,10.000,11.000,0.332,10.637,11.000,11.000,0.485,378.742,379.000,382.000,1.669,25.239,25.000,26.000,0.447,25.373,25.000,26.000,0.508,13.668,14.000,14.000,0.473,440.726,441.000,444.000,1.813,403.044,403.000,406.000,1.809,1.789,0.301,1.772796,0.299700,0.292201,0.299422,"[542, 542, 539, 543, 541]","[541, 539, 540, 540, 541]","([541, 539, 540, 539, 541],)","[541, 539, 540, 539, 541]"
23-10-25--16:41,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,3,32,4 16 16   ,1024,4,0.001,200,200,42.895,0.101,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.262,1.000,2.000,0.440,10.125,10.000,11.000,0.341,10.631,11.000,11.000,0.489,378.765,379.000,382.000,1.664,25.230,25.000,26.000,0.440,25.379,25.000,26.000,0.512,13.661,14.000,14.000,0.479,440.756,441.000,444.000,1.808,403.053,403.000,406.000,1.786,1.789,0.301,1.772796,0.299700,0.292201,0.299422,"[542, 542, 539, 543, 541]","[541, 539, 540, 540, 541]","([541, 539, 540, 539, 541],)","[541, 539, 540, 539, 541]"
23-10-25--16:44,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,8,16 64 64  ,1024,4,0.001,200,200,42.895,0.101,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.268,1.000,2.000,0.443,10.121,10.000,11.000,0.335,10.627,11.000,11.000,0.484,389.077,389.000,391.050,1.746,25.250,25.000,26.000,0.460,25.308,25.000,26.000,0.513,13.667,14.000,14.000,0.471,451.021,451.000,454.000,1.854,413.368,413.000,416.000,1.868,1.789,0.299,1.772796,0.297875,0.292871,0.293334,"[542, 542, 539, 543, 541]","[539, 542, 542, 542, 539]","([539, 542, 541, 541, 539],)","[539, 542, 541, 541, 539]"
23-10-25--16:48,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,8,16 64 64  ,1024,4,0.001,200,200,42.895,0.101,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.266,1.000,2.000,0.442,10.108,10.000,11.000,0.318,10.646,11.000,11.000,0.485,389.063,389.000,392.000,1.778,25.252,25.000,26.000,0.454,25.297,25.000,26.000,0.505,13.649,14.000,14.000,0.483,450.985,451.000,454.000,1.905,413.356,413.000,416.000,1.914,1.789,0.299,1.772796,0.297875,0.292871,0.293334,"[542, 542, 539, 543, 541]","[539, 542, 542, 542, 539]","([539, 542, 541, 541, 539],)","[539, 542, 541, 541, 539]"
