ottimizzazione,active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
ottimizzazione,active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
ottimizzazione,active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
ottimizzazione,active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
o3-unrollallforced-selected,                      1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.30,240,320,4,260.889,293.667,1022.111,70.556,14.333,39.000,1661.556,"[18, 18, 1, 7, 19]","[18, 18, 1, 7, 19]"
o3-unroll-selected,                               1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.30,240,320,4,258.667,296.556,1021.556,71.222,13.778,39.667,1661.778,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
o3-unroll-norm,                                   1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.29,240,320,4,280.222,211.222,1019.667,33.222,14.556, 6.111,1558.889,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
o3-unroll-norm-modelinram,                        1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.29,240,320,4,282.111,208.778, 817.778,31.111,14.222, 7.556,1354.000,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
o3-unroll-norm-modelinram-arrayinram,             1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.30,240,320,4,480.444,205.667, 817.556,30.222,12.667, 7.444,1546.556,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
o3-unroll-norm-modelinram-configcc,               1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.29,240,320,4,511.556,210.000, 821.778,33.000,16.000, 7.111,1592.333,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
o3-unroll-norm-modelinram-noconfigcc,             1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.29,240,320,4,270.556,209.000, 818.000,31.333,13.000, 7.667,1341.889,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
o3-unroll-norm-modelinram-normsqrtinv,            1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.29,240,320,4,156.778,208.667, 818.222,31.333,12.556, 8.222,1227.556,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
o3-unroll-norm-modelinram-normsqrtinv-quantinv,   1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.29,240,320,4,154.667, 85.556, 814.556,31.111,13.889, 5.556,1099.778,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
ofast-unroll-norm-modelinram-normsqrtinv-quantinv,1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.29,240,320,4,156.222, 86.444, 815.889,32.222,14.778, 6.222,1105.556,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
o3-unroll-norm-modelinram-normsqrtinv-quantinv,   1,128,0,"[128, 512, 512]",64,9.88,9.88,0.01,129.8,0.29,240,320,4,155.000, 85.444, 814.778,30.889,14.000, 5.333,1100.111,"[19, 19, 2, 8, 20]","[19, 19, 2, 8, 20]"
