timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
27-10-25--17:39,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,0,32,16 64 64  ,4096,4,0.001,200,200,0.000,-223408.000,133.000,256.000,2.000,pico-o3                                 ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--17:40,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,0,32,16 64 64  ,4096,4,0.001,200,200,0.000,-223680.000,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--17:52,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,1,32,16 64 64  ,4096,4,0.001,200,200,159.500,0.269,133.000,256.000,2.000,pico-o3                                 ,376.864,373.000,393.000,9.643,570.032,567.000,587.000,11.710,902.328,905.000,911.050,7.831,25847.696,25849.000,25886.000,24.495,3910.247,3964.000,4010.000,125.273,2020.251,2023.000,2029.000,7.780,293.485,290.000,311.000,8.715,32725.163,32773.000,32840.000,126.858,27043.581,27044.000,27091.000,28.928,5.052,3.963,5.061635,3.914928,3.904871,2.308981,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[2172, 2040, 2169, 2172, 2167]"
27-10-25--17:53,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,1,512,1,32,16 64 64  ,4096,4,0.001,200,200,159.500,0.269,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--18:06,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,2,32,16 64 64  ,4096,4,0.001,200,200,159.500,0.459,133.000,256.000,2.000,pico-o3                                 ,377.667,373.000,394.000,10.184,570.230,567.000,588.000,12.016,902.486,906.000,912.000,7.927,72691.739,72692.000,72744.000,31.842,3826.499,3855.500,3984.000,127.021,2022.258,2024.000,2033.000,8.159,292.919,288.000,311.000,8.159,79488.383,79513.000,79662.000,129.470,73887.133,73886.000,73943.000,33.452,5.052,3.963,5.061635,3.914928,3.904871,3.033365,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[2172, 1974, 2170, 2173, 2168]"
27-10-25--18:07,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,1,512,2,32,16 64 64  ,4096,4,0.001,200,200,159.500,0.460,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--18:19,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,3,32,16 64 64  ,4096,4,0.001,200,200,159.500,0.466,133.000,256.000,2.000,pico-o3                                 ,377.115,373.000,393.000,9.699,569.744,566.000,587.000,11.464,902.309,905.000,912.000,7.947,73849.437,73850.000,73902.000,31.705,3794.336,3806.500,3988.000,140.449,2021.065,2023.000,2030.000,7.603,292.850,288.000,310.000,8.247,80611.828,80624.000,80822.000,144.096,75044.727,75045.000,75099.000,33.056,5.052,3.963,5.061635,3.914928,3.904871,3.900949,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[2172, 2035, 2169, 2173, 2168]"
27-10-25--18:20,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,1,512,3,32,16 64 64  ,4096,4,0.001,200,200,159.500,0.466,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--18:33,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,1,8,64 256 256,4096,4,0.001,200,200,159.500,0.481,133.000,256.000,2.000,pico-o3                                 ,376.886,373.000,393.000,9.429,570.057,567.000,587.000,11.551,902.310,905.000,912.000,7.869,78251.269,78251.000,78307.000,34.742,3838.459,3870.000,3982.000,126.303,2022.428,2025.000,2031.000,7.545,293.348,290.000,311.000,8.439,85059.230,85089.000,85222.000,129.995,79447.058,79448.000,79508.000,38.069,5.052,3.963,5.061635,3.914928,3.904871,2.854225,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[2171, 1907, 2170, 2173, 2168]"
27-10-25--18:34,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,1,512,1,8,64 256 256,4096,4,0.001,200,200,159.500,0.481,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--18:50,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,2,8,64 256 256,4096,4,0.001,200,200,159.500,1.254,133.000,256.000,2.000,pico-o3                                 ,377.456,374.000,394.000,9.336,571.126,568.000,588.000,11.529,903.621,906.000,913.000,7.635,268570.608,268571.000,268664.000,56.462,3759.671,3746.000,3995.050,118.145,2025.511,2028.000,2035.000,7.965,293.929,289.000,312.000,8.408,275304.322,275296.000,275543.050,130.661,269768.107,269769.000,269865.000,58.622,5.052,3.963,5.061635,3.914928,3.904871,4.652364,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[2172, 1909, 2169, 2173, 2168]"
27-10-25--18:51,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,1,512,2,8,64 256 256,4096,4,0.001,200,200,159.500,1.254,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--19:09,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,3,8,64 256 256,4096,4,0.001,200,200,159.500,1.324,133.000,256.000,2.000,pico-o3                                 ,376.586,373.000,393.000,9.353,570.125,567.000,587.000,11.518,902.251,905.000,912.000,7.816,284694.682,284695.000,284787.050,57.452,3758.284,3755.000,3922.050,92.872,2026.135,2029.000,2035.000,7.651,292.891,288.000,311.000,8.385,291425.670,291424.000,291610.000,108.748,285889.682,285890.000,285985.000,59.640,5.052,3.963,5.061635,3.914928,3.904871,4.811983,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[2172, 1912, 2170, 2173, 2168]"
27-10-25--19:10,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,1,512,3,8,64 256 256,4096,4,0.001,200,200,159.500,1.324,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--19:10,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,1,1,512 2048 2048,4096,4,0.001,200,200,0.000,-500360.000,133.000,256.000,2.000,pico-o3                                 ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--19:11,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,1,1,512 2048 2048,4096,4,0.001,200,200,0.000,-500632.000,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--19:12,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,2,1,512 2048 2048,4096,4,0.001,200,200,0.000,-7898192.000,133.000,256.000,2.000,pico-o3                                 ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--19:12,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,2,1,512 2048 2048,4096,4,0.001,200,200,0.000,-7898464.000,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--19:13,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,3,1,512 2048 2048,4096,4,0.001,200,200,0.000,-12150304.000,133.000,256.000,2.000,pico-o3                                 ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
27-10-25--19:14,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,3,1,512 2048 2048,4096,4,0.001,200,200,0.000,-12150576.000,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,3.963,5.061635,3.914928,3.904871,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
